Name, Region, Type, Ownership, Location, Services, NHIS accredited
10 'OCLOCK PHARMACY,Ashanti Region,PHARMACY,RIVATE,OA BLK 36 PLOT 12  STARLET 91 ROAD,Pharmacy,yes
ABENKYIMAN CLINIC,Ashanti Region,CLINIC,RIVATE,BEKWAI RD ANWIANKWANTA,General,yes
ABOABO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,ABOABO,General,yes
ABOABOGYA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,AFIGYA KWABRE DIST. KODIE,General,yes
ABOABOSO CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,ABOABOSO,General,yes
ABOASO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,ABOASO,General,yes
ABOFUOR HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ABOFOUR,General,yes
ABORE HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,MANSO ABORE,General,yes
ABRAFI MEMORIAL HOSPITAL,Ashanti Region,CLINIC,RIVATE,DICHEMSO,General,yes
ABUAKWA HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,ABUAKWA NEAR THE POLICE STATION,General,yes
ABUAKWA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ABUAKWAA,General,yes
ABUAKWAA CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,ABUAKWAA  P.O.BOX 3  C/O DISTRICT HEALTH DIRECTORATE,General,yes
ABUOHIA TOPHILL CLINIC,Ashanti Region,PRIMARY HOSPITAL,RIVATE,PLOT 90 BLK C KRONUM,General,yes
ACHIASE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ACHIASE,General,yes
ACTUAL VIEW SCAN CENTRE,Ashanti Region,ULTRASOUND,RIVATE,DAGOMBA LINE OPPOSITE EJURA DIST HOSPITAL,Ultra Sound Scan,yes
ADAB SAB MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,MAAKRO,Antenatal  Post-natal,yes
ADANSI DIAGNOSTIC AND ULTRASOUND CENTRE,Ashanti Region,ULTRASOUND,RIVATE,BEDIEM,Ultra Sound Scan,yes
ADIDWAN HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ADIDWAN,General,yes
ADIEBEBA HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,NR 4 OLD BEKWAI RD,General,yes
ADIMPOSO II CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,ADIMPOSO,General,yes
ADOM MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,MAIN SUNYANI ROAD BIEMSO NO. 1,Antenatal  Post-natal,yes
ADONFE HUNGER PROJECT,Ashanti Region,HEALTH CENTRE,OVERNMENT,ADONFE,General,yes
ADUM CLINIC,Ashanti Region,clinic,rivate,OPPOSITE NADU CHEMIST,General,yes
ADWUMAKASEKESE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ADWUMAKASE KESE,General,yes
AFRAMSO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,AFRAMSO 111  BOX 36 NSUTA,General,yes
AFRANCHO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,AFRANCHO OFF OFFINSO ROAD,General,yes
AFRICAN DIASPORA MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,OPP PRESBY CHURCH ABIREM N. T.,Antenatal  Post-natal,yes
AGONA GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,ON AGONA BIPUA ROAD,General,yes
AGYA NTI PHARMACY LTD,Ashanti Region,PHARMACY,RIVATE,PLOT NO. 100 WARD 2 TEPA,Pharmacy,yes
AGYEBERT PHARMACY,Ashanti Region,PHARMACY,RIVATE,LAKE ROAD ATONSU,Pharmacy,yes
AHAFOMAN PHARMACY,Ashanti Region,PHARMACY,RIVATE,PAMPASO STOOL HOUSE/ALABAR,Pharmacy,yes
AHENEMA KOKOBEN HEALTH CENTRE,Ashanti Region,health centre,overnment,ADUM,General,yes
AHENKRO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,AFTER AKOM CEPS BARRIER  OFF OFFINSO RD,General,yes
AHMADIYYA MUSLIM HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,ISSION,COUNCIL KOKOFU,General,yes
AHMADIYYA MUSLIM HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,ISSION,AKWAMASO END,General,yes
AHMADIYYA MUSLIM HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,AKWAMASO END  P.O.BOX 36,General,yes
AHODWO NEW CROSS HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,PLOT 4 BLK R WEST NHYIAESO,General,yes
AHWENE MEMORIAL HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,BEKWAI,General,yes
